Collection,"""Observation ID""",Target,RA,Dec,"""Min. Wavelength""","""Max. Wavelength""","""Proposal ID""","""P.I. Name""","""Data Release"""
DAO,dao_c122_2006_009600,bias,,,,,,,2006-06-26T13:41:22.000
DAO,dao_c122_2006_011366,HD183143,291.8555624997209,18.29034109413881,4.942875E-7,5.572875E-7,,,2007-07-23T09:20:13.000
DAO,dao_c122_2006_011370,HD183143,291.8589784951405,18.289727957033634,4.942875E-7,5.572875E-7,,,2007-07-23T10:52:24.000
DAO,dao_c122_2006_011367,HD183143,291.85727058719357,18.290173413225872,4.942875E-7,5.572875E-7,,,2007-07-23T09:50:36.000
DAO,dao_c122_2006_010853,th/ar,,,4.942875E-7,5.572875E-7,,,2006-07-18T10:55:00.000
DAO,dao_c122_2006_010850,th/ar,,,4.942875E-7,5.572875E-7,,,2006-07-18T09:53:13.000
DAO,dao_c122_2006_010856,HD183143,292.53943797582866,18.649874502198188,4.942875E-7,5.572875E-7,,,2007-07-18T11:56:40.000
DAO,dao_c122_2006_010852,HD183143,291.86183951991137,18.290052610013205,4.942875E-7,5.572875E-7,,,2007-07-18T10:24:28.000
DAO,dao_c122_2006_010854,HD183143,292.04732812490704,18.358442824471354,4.942875E-7,5.572875E-7,,,2007-07-18T10:55:52.000
DAO,dao_c122_2006_010857,th/ar,,,4.942875E-7,5.572875E-7,,,2006-07-18T12:27:12.000
DAO,dao_c122_2006_009603,bias,,,,,,,2006-06-26T13:42:29.000
DAO,dao_c122_2006_009605,bias,,,,,,,2006-06-26T13:43:14.000
DAO,dao_c122_2006_009604,bias,,,,,,,2006-06-26T13:42:52.000
DAO,dao_c122_2006_009608,bias,,,,,,,2006-06-26T13:44:22.000
DAO,dao_c122_2006_009607,bias,,,,,,,2006-06-26T13:44:00.000
DAO,dao_c122_2006_011374,bias,,,,,,,2006-07-23T14:53:45.000
DAO,dao_c122_2006_011372,th/ar,,,4.942875E-7,5.572875E-7,,,2006-07-23T11:53:21.000
DAO,dao_c122_2006_011376,bias,,,,,,,2006-07-23T14:54:34.000
DAO,dao_c122_2006_011375,bias,,,,,,,2006-07-23T14:54:09.000
DAO,dao_c122_2006_011380,bias,,,,,,,2006-07-23T14:56:12.000
DAO,dao_c122_2006_011377,bias,,,,,,,2006-07-23T14:54:58.000
DAO,dao_c122_2006_010861,bias,,,,,,,2006-07-18T14:37:09.000
DAO,dao_c122_2006_010859,bias,,,,,,,2006-07-18T14:36:24.000
DAO,dao_c122_2006_010862,bias,,,,,,,2006-07-18T14:37:31.000
DAO,dao_c122_2006_009611,bias,,,,,,,2006-06-26T13:45:30.000
DAO,dao_c122_2006_009610,bias,,,,,,,2006-06-26T13:45:08.000
DAO,dao_c122_2006_009612,bias,,,,,,,2006-06-26T13:45:53.000
DAO,dao_c122_2006_009613,bias,,,,,,,2006-06-26T13:46:15.000
DAO,dao_c122_2006_009614,bias,,,,,,,2006-06-26T13:46:38.000
DAO,dao_c122_2006_009615,bias,,,,,,,2006-06-26T13:47:00.000
DAO,dao_c122_2006_011381,bias,,,,,,,2006-07-23T14:56:37.000
DAO,dao_c122_2006_011382,bias,,,,,,,2006-07-23T14:57:01.000
DAO,dao_c122_2006_011383,bias,,,,,,,2006-07-23T14:57:26.000
DAO,dao_c122_2006_011390,bias,,,,,,,2006-07-23T15:00:18.000
DAO,dao_c122_2006_011384,bias,,,,,,,2006-07-23T14:57:51.000
DAO,dao_c122_2006_010867,bias,,,,,,,2006-07-18T14:39:25.000
DAO,dao_c122_2006_011396,bias,,,,,,,2006-07-23T15:02:46.000
DAO,dao_c122_2006_009617,bias,,,,,,,2006-06-26T13:47:46.000
DAO,dao_c122_2006_011392,bias,,,,,,,2006-07-23T15:01:08.000
DAO,dao_c122_2006_009618,bias,,,,,,,2006-06-26T13:48:08.000
DAO,dao_c122_2006_010872,bias,,,,,,,2006-07-18T14:41:17.000
DAO,dao_c122_2006_011393,bias,,,,,,,2006-07-23T15:01:32.000
DAO,dao_c122_2006_011397,bias,,,,,,,2006-07-23T15:03:11.000
DAO,dao_c122_2006_011395,bias,,,,,,,2006-07-23T15:02:22.000
DAO,dao_c122_2006_010873,bias,,,,,,,2006-07-18T14:41:40.000
DAO,dao_c122_2006_010871,bias,,,,,,,2006-07-18T14:40:55.000
DAO,dao_c122_2006_010874,bias,,,,,,,2006-07-18T14:42:02.000
